ts,name,cpu_pct,mem
1788517229,spike-mysql,7.32%,944MiB / 3.826GiB
1788517229,spike-redis,1.01%,5.008MiB / 3.826GiB
1788517235,spike-mysql,8.40%,944.3MiB / 3.826GiB
1788517235,spike-redis,1.10%,4.5MiB / 3.826GiB
1788517241,spike-mysql,7.05%,944.3MiB / 3.826GiB
1788517241,spike-redis,0.95%,4.742MiB / 3.826GiB
1788517248,spike-mysql,9.13%,945.3MiB / 3.826GiB
1788517248,spike-redis,1.18%,4.492MiB / 3.826GiB
1788517255,spike-mysql,10.03%,945.2MiB / 3.826GiB
1788517255,spike-redis,0.99%,4.496MiB / 3.826GiB
1788517262,spike-mysql,7.23%,945.3MiB / 3.826GiB
1788517262,spike-redis,1.79%,4.742MiB / 3.826GiB
1788517269,spike-mysql,8.97%,945.4MiB / 3.826GiB
1788517269,spike-redis,1.39%,4.492MiB / 3.826GiB
1788517276,spike-mysql,7.15%,946.4MiB / 3.826GiB
1788517276,spike-redis,1.39%,4.738MiB / 3.826GiB
1788517283,spike-mysql,9.97%,945.9MiB / 3.826GiB
1788517283,spike-redis,1.40%,4.5MiB / 3.826GiB
1788517290,spike-mysql,10.26%,946MiB / 3.826GiB
1788517290,spike-redis,1.43%,4.492MiB / 3.826GiB
1788517296,spike-mysql,10.29%,946.4MiB / 3.826GiB
1788517296,spike-redis,1.15%,4.504MiB / 3.826GiB
1788517303,spike-mysql,8.63%,946.4MiB / 3.826GiB
1788517303,spike-redis,1.29%,4.492MiB / 3.826GiB
1788517309,spike-mysql,8.76%,946.7MiB / 3.826GiB
1788517309,spike-redis,2.93%,4.742MiB / 3.826GiB
1788517316,spike-mysql,10.47%,948.6MiB / 3.826GiB
1788517316,spike-redis,1.29%,4.492MiB / 3.826GiB
