ts_ms,http,latency_ms,path,result
1788525568695,202,79,REDIS,TRIGGERED
1788525568985,202,82,REDIS,TRIGGERED
1788525569339,202,113,REDIS,TRIGGERED
1788525569646,202,81,REDIS,TRIGGERED
1788525569920,202,79,REDIS,TRIGGERED
1788525570191,202,84,REDIS,TRIGGERED
1788525570464,202,80,REDIS,TRIGGERED
1788525570735,202,82,REDIS,TRIGGERED
1788525571016,202,90,REDIS,TRIGGERED
1788525571298,202,75,REDIS,TRIGGERED
1788525571565,202,79,REDIS,TRIGGERED
1788525571835,202,79,REDIS,TRIGGERED
1788525572106,202,82,REDIS,TRIGGERED
1788525572373,202,79,REDIS,TRIGGERED
1788525572650,202,85,REDIS,TRIGGERED
1788525572926,202,80,REDIS,TRIGGERED
1788525573188,202,87,REDIS,TRIGGERED
1788525573471,202,87,REDIS,TRIGGERED
1788525573746,202,83,REDIS,TRIGGERED
1788525574019,202,80,REDIS,TRIGGERED
1788525574292,202,81,REDIS,TRIGGERED
1788525574561,202,79,REDIS,TRIGGERED
1788525574832,202,80,REDIS,TRIGGERED
1788525575100,202,79,REDIS,TRIGGERED
1788525575367,202,82,REDIS,TRIGGERED
1788525575638,202,80,REDIS,TRIGGERED
1788525575909,202,78,REDIS,TRIGGERED
1788525576177,202,82,REDIS,TRIGGERED
1788525576449,202,81,REDIS,TRIGGERED
1788525576717,202,81,REDIS,TRIGGERED
1788525576984,202,79,REDIS,TRIGGERED
1788525577249,202,83,REDIS,TRIGGERED
1788525577523,202,80,REDIS,TRIGGERED
1788525577791,202,81,REDIS,TRIGGERED
1788525578063,202,84,REDIS,TRIGGERED
1788525578339,202,80,REDIS,TRIGGERED
1788525578608,202,81,REDIS,TRIGGERED
1788525578881,202,76,REDIS,TRIGGERED
1788525579148,202,82,REDIS,TRIGGERED
1788525579418,202,82,REDIS,TRIGGERED
1788525579693,202,79,REDIS,TRIGGERED
1788525579957,202,82,REDIS,TRIGGERED
1788525580229,202,77,REDIS,TRIGGERED
1788525580496,202,81,REDIS,TRIGGERED
1788525580765,202,76,REDIS,TRIGGERED
1788525581029,202,80,REDIS,TRIGGERED
1788525581300,202,81,REDIS,TRIGGERED
1788525581572,202,78,REDIS,TRIGGERED
1788525581837,202,81,REDIS,TRIGGERED
1788525582111,202,83,REDIS,TRIGGERED
1788525582385,202,80,REDIS,TRIGGERED
1788525582656,202,87,REDIS,TRIGGERED
1788525582933,202,80,REDIS,TRIGGERED
1788525583204,202,84,REDIS,TRIGGERED
1788525583469,202,83,REDIS,TRIGGERED
1788525583745,202,82,REDIS,TRIGGERED
1788525584020,202,83,REDIS,TRIGGERED
1788525584294,202,79,REDIS,TRIGGERED
1788525584565,202,77,REDIS,TRIGGERED
1788525584832,202,82,REDIS,TRIGGERED
1788525585101,202,95,REDIS,TRIGGERED
1788525585387,202,83,REDIS,TRIGGERED
1788525585658,202,81,REDIS,TRIGGERED
1788525585925,202,83,REDIS,TRIGGERED
1788525586194,202,81,REDIS,TRIGGERED
1788525586462,202,83,REDIS,TRIGGERED
1788525586736,202,82,REDIS,TRIGGERED
1788525587014,202,87,REDIS,TRIGGERED
1788525587293,202,81,REDIS,TRIGGERED
1788525587560,202,78,REDIS,TRIGGERED
1788525587820,202,81,REDIS,TRIGGERED
1788525588091,202,80,REDIS,TRIGGERED
1788525588361,202,83,REDIS,TRIGGERED
1788525588633,202,78,REDIS,TRIGGERED
1788525588903,202,79,REDIS,TRIGGERED
1788525589174,202,77,REDIS,TRIGGERED
1788525589442,202,81,REDIS,TRIGGERED
1788525589714,202,81,REDIS,TRIGGERED
1788525589981,202,84,REDIS,TRIGGERED
1788525590257,202,76,REDIS,TRIGGERED
1788525590523,202,79,REDIS,TRIGGERED
1788525590790,202,81,REDIS,TRIGGERED
1788525591062,202,79,REDIS,TRIGGERED
1788525591332,202,80,REDIS,TRIGGERED
1788525591599,202,80,REDIS,TRIGGERED
1788525591870,202,83,REDIS,TRIGGERED
1788525592142,202,80,REDIS,TRIGGERED
1788525592416,202,82,REDIS,TRIGGERED
1788525592690,202,81,REDIS,TRIGGERED
1788525592960,202,78,REDIS,TRIGGERED
1788525593223,202,80,REDIS,TRIGGERED
1788525593489,202,81,REDIS,TRIGGERED
1788525593753,202,84,REDIS,TRIGGERED
1788525594027,202,82,REDIS,TRIGGERED
1788525594301,202,79,REDIS,TRIGGERED
1788525594569,202,79,REDIS,TRIGGERED
1788525594826,202,80,REDIS,TRIGGERED
1788525595096,202,81,REDIS,TRIGGERED
1788525595364,202,78,REDIS,TRIGGERED
1788525595630,202,81,REDIS,TRIGGERED
1788525595895,202,77,REDIS,TRIGGERED
1788525596161,202,83,REDIS,TRIGGERED
1788525596435,202,78,REDIS,TRIGGERED
1788525596703,202,82,REDIS,TRIGGERED
1788525596973,202,79,REDIS,TRIGGERED
1788525597249,202,88,REDIS,TRIGGERED
1788525597527,202,79,REDIS,TRIGGERED
1788525597798,202,90,REDIS,TRIGGERED
