ts_ms,http,latency_ms,path,result
1788525486318,202,80,REDIS,NOT_TRIGGERED
1788525486587,202,76,REDIS,NOT_TRIGGERED
1788525486843,202,79,REDIS,NOT_TRIGGERED
1788525487112,202,78,REDIS,NOT_TRIGGERED
1788525487381,202,78,REDIS,NOT_TRIGGERED
1788525487648,202,78,REDIS,NOT_TRIGGERED
1788525487914,202,76,REDIS,NOT_TRIGGERED
1788525488187,202,80,REDIS,NOT_TRIGGERED
1788525488458,202,78,REDIS,NOT_TRIGGERED
1788525488726,202,79,REDIS,NOT_TRIGGERED
1788525488996,202,79,REDIS,NOT_TRIGGERED
1788525489258,202,81,REDIS,NOT_TRIGGERED
1788525489521,202,81,REDIS,NOT_TRIGGERED
1788525489785,202,82,REDIS,NOT_TRIGGERED
1788525490048,202,79,REDIS,NOT_TRIGGERED
1788525490307,202,82,REDIS,NOT_TRIGGERED
1788525490572,202,84,REDIS,NOT_TRIGGERED
1788525490839,202,79,REDIS,NOT_TRIGGERED
1788525491101,202,81,REDIS,NOT_TRIGGERED
1788525491363,202,79,REDIS,NOT_TRIGGERED
1788525491625,202,83,REDIS,NOT_TRIGGERED
1788525491891,202,82,REDIS,NOT_TRIGGERED
1788525492155,202,80,REDIS,NOT_TRIGGERED
1788525492417,202,81,REDIS,NOT_TRIGGERED
1788525492678,202,79,REDIS,NOT_TRIGGERED
1788525492936,202,79,REDIS,NOT_TRIGGERED
1788525493196,202,81,REDIS,NOT_TRIGGERED
1788525493460,202,85,REDIS,NOT_TRIGGERED
1788525493729,202,84,REDIS,NOT_TRIGGERED
1788525493997,202,79,REDIS,NOT_TRIGGERED
1788525494259,202,85,REDIS,NOT_TRIGGERED
1788525494529,202,5011,REDIS,NOT_TRIGGERED
1788525499725,202,83,REDIS,NOT_TRIGGERED
1788525499991,202,85,REDIS,NOT_TRIGGERED
1788525500258,202,82,REDIS,NOT_TRIGGERED
1788525500522,202,82,REDIS,NOT_TRIGGERED
1788525500788,202,92,REDIS,NOT_TRIGGERED
1788525501064,202,83,REDIS,NOT_TRIGGERED
1788525501333,202,83,REDIS,NOT_TRIGGERED
1788525501601,202,85,REDIS,NOT_TRIGGERED
1788525501870,202,83,REDIS,NOT_TRIGGERED
1788525502137,202,82,REDIS,NOT_TRIGGERED
1788525502402,202,82,REDIS,NOT_TRIGGERED
1788525502669,202,83,REDIS,NOT_TRIGGERED
1788525502931,202,84,REDIS,NOT_TRIGGERED
1788525503200,202,83,REDIS,NOT_TRIGGERED
1788525503469,202,79,REDIS,NOT_TRIGGERED
1788525503734,202,80,REDIS,NOT_TRIGGERED
1788525503998,202,82,REDIS,NOT_TRIGGERED
1788525504265,202,80,REDIS,NOT_TRIGGERED
1788525504531,202,84,REDIS,NOT_TRIGGERED
1788525504799,202,83,REDIS,NOT_TRIGGERED
1788525505067,202,77,REDIS,NOT_TRIGGERED
1788525505326,202,85,REDIS,NOT_TRIGGERED
1788525505595,202,79,REDIS,NOT_TRIGGERED
1788525505858,202,83,REDIS,NOT_TRIGGERED
1788525506126,202,84,REDIS,NOT_TRIGGERED
1788525506397,202,84,REDIS,NOT_TRIGGERED
1788525506668,202,80,REDIS,NOT_TRIGGERED
1788525506931,202,82,REDIS,NOT_TRIGGERED
1788525507193,202,83,REDIS,NOT_TRIGGERED
1788525507461,202,82,REDIS,NOT_TRIGGERED
1788525507728,202,82,REDIS,NOT_TRIGGERED
1788525507996,202,81,REDIS,NOT_TRIGGERED
1788525508262,202,81,REDIS,NOT_TRIGGERED
1788525508529,202,82,REDIS,NOT_TRIGGERED
1788525508812,202,98,REDIS,NOT_TRIGGERED
1788525509096,202,80,REDIS,NOT_TRIGGERED
1788525509368,202,87,REDIS,NOT_TRIGGERED
1788525509639,202,83,REDIS,NOT_TRIGGERED
1788525509910,202,77,REDIS,NOT_TRIGGERED
1788525510178,202,78,REDIS,NOT_TRIGGERED
1788525510445,202,78,REDIS,NOT_TRIGGERED
1788525510712,202,77,REDIS,NOT_TRIGGERED
1788525510979,202,75,REDIS,NOT_TRIGGERED
1788525511249,202,78,REDIS,NOT_TRIGGERED
1788525511515,202,74,REDIS,NOT_TRIGGERED
1788525511778,202,86,REDIS,NOT_TRIGGERED
1788525512053,202,79,REDIS,NOT_TRIGGERED
1788525512323,202,79,REDIS,NOT_TRIGGERED
1788525512594,202,80,REDIS,NOT_TRIGGERED
