ts_ms,http,latency_ms,path,result
1788525528113,202,78,REDIS,NOT_TRIGGERED
1788525528380,202,79,REDIS,NOT_TRIGGERED
1788525528649,202,76,REDIS,NOT_TRIGGERED
1788525528911,202,84,REDIS,NOT_TRIGGERED
1788525529177,202,82,REDIS,NOT_TRIGGERED
1788525529448,202,79,REDIS,NOT_TRIGGERED
1788525529717,202,77,REDIS,NOT_TRIGGERED
1788525529982,202,78,REDIS,NOT_TRIGGERED
1788525530246,202,79,REDIS,NOT_TRIGGERED
1788525530512,202,77,REDIS,NOT_TRIGGERED
1788525530781,202,78,REDIS,NOT_TRIGGERED
1788525531050,202,79,REDIS,NOT_TRIGGERED
1788525531319,202,75,REDIS,NOT_TRIGGERED
1788525531580,202,80,REDIS,NOT_TRIGGERED
1788525531851,202,81,REDIS,NOT_TRIGGERED
1788525532124,202,77,REDIS,NOT_TRIGGERED
1788525532398,202,85,REDIS,NOT_TRIGGERED
1788525532671,202,75,REDIS,NOT_TRIGGERED
1788525532944,202,78,REDIS,NOT_TRIGGERED
1788525533204,202,77,REDIS,NOT_TRIGGERED
1788525533472,202,75,REDIS,NOT_TRIGGERED
1788525533739,202,77,REDIS,NOT_TRIGGERED
1788525534007,202,79,REDIS,NOT_TRIGGERED
1788525534276,202,79,REDIS,NOT_TRIGGERED
1788525534543,202,75,REDIS,NOT_TRIGGERED
1788525534804,202,73,REDIS,NOT_TRIGGERED
1788525535074,202,83,REDIS,NOT_TRIGGERED
1788525535342,202,77,REDIS,NOT_TRIGGERED
1788525535610,202,81,REDIS,NOT_TRIGGERED
1788525535880,202,76,REDIS,NOT_TRIGGERED
1788525536139,202,76,REDIS,NOT_TRIGGERED
1788525536404,000,5102,NONE,NONE
1788525541699,202,2586,REDIS,NOT_TRIGGERED
1788525544476,202,77,REDIS,NOT_TRIGGERED
1788525544741,202,101,REDIS,NOT_TRIGGERED
1788525545034,202,80,REDIS,NOT_TRIGGERED
1788525545293,202,78,REDIS,NOT_TRIGGERED
1788525545562,202,74,REDIS,NOT_TRIGGERED
1788525545825,202,78,REDIS,NOT_TRIGGERED
1788525546097,202,76,REDIS,NOT_TRIGGERED
1788525546354,202,77,REDIS,NOT_TRIGGERED
1788525546622,202,77,REDIS,NOT_TRIGGERED
1788525546890,202,79,REDIS,NOT_TRIGGERED
1788525547157,202,79,REDIS,NOT_TRIGGERED
1788525547421,202,79,REDIS,NOT_TRIGGERED
1788525547685,202,79,REDIS,NOT_TRIGGERED
1788525547952,202,75,REDIS,NOT_TRIGGERED
1788525548213,202,77,REDIS,NOT_TRIGGERED
1788525548482,202,78,REDIS,NOT_TRIGGERED
1788525548749,202,77,REDIS,NOT_TRIGGERED
1788525549014,202,79,REDIS,NOT_TRIGGERED
1788525549284,202,79,REDIS,NOT_TRIGGERED
1788525549548,202,77,REDIS,NOT_TRIGGERED
1788525549818,202,79,REDIS,NOT_TRIGGERED
1788525550087,202,79,REDIS,NOT_TRIGGERED
1788525550354,202,77,REDIS,NOT_TRIGGERED
1788525550617,202,81,REDIS,NOT_TRIGGERED
1788525550884,202,77,REDIS,NOT_TRIGGERED
1788525551152,202,78,REDIS,NOT_TRIGGERED
1788525551420,202,80,REDIS,NOT_TRIGGERED
1788525551686,202,77,REDIS,NOT_TRIGGERED
1788525551954,202,79,REDIS,NOT_TRIGGERED
1788525552220,202,79,REDIS,NOT_TRIGGERED
1788525552494,202,80,REDIS,NOT_TRIGGERED
1788525552767,202,78,REDIS,NOT_TRIGGERED
1788525553032,202,81,REDIS,NOT_TRIGGERED
1788525553300,202,81,REDIS,NOT_TRIGGERED
1788525553572,202,77,REDIS,NOT_TRIGGERED
1788525553838,202,78,REDIS,NOT_TRIGGERED
1788525554103,202,80,REDIS,NOT_TRIGGERED
1788525554372,202,78,REDIS,NOT_TRIGGERED
1788525554642,202,76,REDIS,NOT_TRIGGERED
1788525554907,202,79,REDIS,NOT_TRIGGERED
1788525555183,202,80,REDIS,NOT_TRIGGERED
1788525555453,202,79,REDIS,NOT_TRIGGERED
1788525555722,202,90,REDIS,NOT_TRIGGERED
1788525556008,202,80,REDIS,NOT_TRIGGERED
1788525556275,202,79,REDIS,NOT_TRIGGERED
1788525556546,202,78,REDIS,NOT_TRIGGERED
1788525556811,202,79,REDIS,NOT_TRIGGERED
1788525557078,202,78,REDIS,NOT_TRIGGERED
1788525557343,202,79,REDIS,NOT_TRIGGERED
1788525557611,202,79,REDIS,NOT_TRIGGERED
1788525557881,202,78,REDIS,NOT_TRIGGERED
1788525558151,202,78,REDIS,NOT_TRIGGERED
1788525558418,202,76,REDIS,NOT_TRIGGERED
1788525558685,202,77,REDIS,NOT_TRIGGERED
1788525558954,202,79,REDIS,NOT_TRIGGERED
1788525559225,202,78,REDIS,NOT_TRIGGERED
1788525559495,202,80,REDIS,NOT_TRIGGERED
1788525559767,202,77,REDIS,NOT_TRIGGERED
1788525560034,202,79,REDIS,NOT_TRIGGERED
1788525560303,202,77,REDIS,NOT_TRIGGERED
1788525560569,202,75,REDIS,NOT_TRIGGERED
1788525560832,202,79,REDIS,NOT_TRIGGERED
1788525561101,202,78,REDIS,NOT_TRIGGERED
1788525561368,202,77,REDIS,NOT_TRIGGERED
1788525561633,202,81,REDIS,NOT_TRIGGERED
1788525561907,202,74,REDIS,NOT_TRIGGERED
1788525562178,202,86,REDIS,NOT_TRIGGERED
1788525562454,202,84,REDIS,NOT_TRIGGERED
1788525562721,202,84,REDIS,NOT_TRIGGERED
1788525563003,202,77,REDIS,NOT_TRIGGERED
