ts_ms,http,latency_ms,path,result
1788525714000,202,139,REDIS,NOT_TRIGGERED
1788525714325,202,78,REDIS,NOT_TRIGGERED
1788525714592,202,84,REDIS,NOT_TRIGGERED
1788525714863,202,82,REDIS,NOT_TRIGGERED
1788525715137,202,79,REDIS,NOT_TRIGGERED
1788525715408,202,81,REDIS,NOT_TRIGGERED
1788525715680,202,88,REDIS,NOT_TRIGGERED
1788525715955,202,81,REDIS,NOT_TRIGGERED
1788525716223,202,83,REDIS,NOT_TRIGGERED
1788525716494,202,82,REDIS,NOT_TRIGGERED
1788525716759,202,76,REDIS,NOT_TRIGGERED
1788525717025,202,81,REDIS,NOT_TRIGGERED
1788525717286,202,80,REDIS,NOT_TRIGGERED
1788525717556,202,78,REDIS,NOT_TRIGGERED
1788525717831,202,84,REDIS,NOT_TRIGGERED
1788525718112,202,83,REDIS,NOT_TRIGGERED
1788525718384,202,79,REDIS,NOT_TRIGGERED
1788525718651,202,83,REDIS,NOT_TRIGGERED
1788525718927,202,77,REDIS,NOT_TRIGGERED
1788525719194,202,82,REDIS,NOT_TRIGGERED
1788525719469,202,83,REDIS,NOT_TRIGGERED
1788525719743,202,81,REDIS,NOT_TRIGGERED
1788525720015,202,84,REDIS,NOT_TRIGGERED
1788525720289,202,82,REDIS,NOT_TRIGGERED
1788525720559,202,77,REDIS,NOT_TRIGGERED
1788525720825,202,80,REDIS,NOT_TRIGGERED
1788525721097,202,81,REDIS,NOT_TRIGGERED
1788525721368,202,79,REDIS,NOT_TRIGGERED
1788525721638,202,85,REDIS,NOT_TRIGGERED
1788525721914,202,88,REDIS,NOT_TRIGGERED
1788525722184,202,321,DB_FALLBACK,NOT_TRIGGERED
1788525722695,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525722966,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525723234,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525723505,202,85,DB_FALLBACK,NOT_TRIGGERED
1788525723782,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525724050,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525724320,202,77,DB_FALLBACK,NOT_TRIGGERED
1788525724592,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525724855,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525725130,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525725399,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525725673,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525725940,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525726219,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525726485,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525726760,202,78,DB_FALLBACK,NOT_TRIGGERED
1788525727027,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525727296,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525727561,202,82,REDIS,NOT_TRIGGERED
1788525727836,202,81,REDIS,NOT_TRIGGERED
1788525728106,202,82,REDIS,NOT_TRIGGERED
1788525728379,202,87,REDIS,NOT_TRIGGERED
1788525728651,202,78,REDIS,NOT_TRIGGERED
1788525728914,202,83,REDIS,NOT_TRIGGERED
1788525729186,202,77,REDIS,NOT_TRIGGERED
1788525729452,202,82,REDIS,NOT_TRIGGERED
1788525729725,202,81,REDIS,NOT_TRIGGERED
