ts_ms,http,latency_ms,path,result
1788524996673,202,87,REDIS,NOT_TRIGGERED
1788524996967,202,91,REDIS,NOT_TRIGGERED
1788524997257,202,85,REDIS,NOT_TRIGGERED
1788524997527,202,78,REDIS,NOT_TRIGGERED
1788524997797,202,77,REDIS,NOT_TRIGGERED
1788524998073,202,95,REDIS,NOT_TRIGGERED
1788524998358,202,86,REDIS,NOT_TRIGGERED
1788524998632,202,77,REDIS,NOT_TRIGGERED
1788524998900,202,77,REDIS,NOT_TRIGGERED
1788524999170,202,76,REDIS,NOT_TRIGGERED
1788524999438,202,83,REDIS,NOT_TRIGGERED
1788524999714,202,78,REDIS,NOT_TRIGGERED
1788524999991,202,87,REDIS,NOT_TRIGGERED
1788525000280,202,97,REDIS,NOT_TRIGGERED
1788525000573,202,83,REDIS,NOT_TRIGGERED
1788525000851,202,89,REDIS,NOT_TRIGGERED
1788525001129,202,80,REDIS,NOT_TRIGGERED
1788525001415,202,86,REDIS,NOT_TRIGGERED
1788525001695,202,86,REDIS,NOT_TRIGGERED
1788525001968,202,81,REDIS,NOT_TRIGGERED
1788525002240,202,78,REDIS,NOT_TRIGGERED
1788525002499,202,92,REDIS,NOT_TRIGGERED
1788525002789,202,87,REDIS,NOT_TRIGGERED
1788525003067,202,77,REDIS,NOT_TRIGGERED
1788525003336,202,78,REDIS,NOT_TRIGGERED
1788525003602,202,81,REDIS,NOT_TRIGGERED
1788525003891,202,93,REDIS,NOT_TRIGGERED
1788525004180,202,122,REDIS,NOT_TRIGGERED
1788525004494,202,95,REDIS,NOT_TRIGGERED
1788525004789,202,98,REDIS,NOT_TRIGGERED
1788525005090,202,99,REDIS,NOT_TRIGGERED
1788525005387,202,93,REDIS,NOT_TRIGGERED
1788525005667,202,95,REDIS,NOT_TRIGGERED
1788525005969,202,93,REDIS,NOT_TRIGGERED
1788525006259,202,88,REDIS,NOT_TRIGGERED
1788525006543,202,335,DB_FALLBACK,NOT_TRIGGERED
1788525007076,202,95,DB_FALLBACK,NOT_TRIGGERED
1788525007373,202,91,DB_FALLBACK,NOT_TRIGGERED
1788525007661,202,89,DB_FALLBACK,NOT_TRIGGERED
1788525007953,202,92,DB_FALLBACK,NOT_TRIGGERED
1788525008243,202,95,DB_FALLBACK,NOT_TRIGGERED
1788525008535,202,91,DB_FALLBACK,NOT_TRIGGERED
1788525008825,202,90,DB_FALLBACK,NOT_TRIGGERED
1788525009109,202,102,DB_FALLBACK,NOT_TRIGGERED
1788525009410,202,92,DB_FALLBACK,NOT_TRIGGERED
1788525009697,202,89,DB_FALLBACK,NOT_TRIGGERED
1788525009987,202,91,DB_FALLBACK,NOT_TRIGGERED
1788525010291,202,95,DB_FALLBACK,NOT_TRIGGERED
1788525010585,202,95,DB_FALLBACK,NOT_TRIGGERED
1788525010873,202,88,DB_FALLBACK,NOT_TRIGGERED
1788525011159,202,88,DB_FALLBACK,NOT_TRIGGERED
1788525011449,202,104,DB_FALLBACK,NOT_TRIGGERED
1788525011757,202,334,DB_FALLBACK,NOT_TRIGGERED
1788525012302,202,98,DB_FALLBACK,NOT_TRIGGERED
1788525012603,202,86,DB_FALLBACK,NOT_TRIGGERED
1788525012887,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525013155,202,86,DB_FALLBACK,NOT_TRIGGERED
1788525013428,202,84,DB_FALLBACK,NOT_TRIGGERED
1788525013708,202,119,DB_FALLBACK,NOT_TRIGGERED
1788525014031,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525014299,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525014565,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525014831,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525015102,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525015369,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525015665,202,89,DB_FALLBACK,NOT_TRIGGERED
1788525015943,202,116,DB_FALLBACK,NOT_TRIGGERED
1788525016248,202,85,DB_FALLBACK,NOT_TRIGGERED
1788525016526,202,89,DB_FALLBACK,NOT_TRIGGERED
1788525016799,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525017062,202,291,DB_FALLBACK,NOT_TRIGGERED
1788525017538,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525017804,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525018067,202,79,DB_FALLBACK,NOT_TRIGGERED
1788525018330,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525018598,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525018867,202,84,DB_FALLBACK,NOT_TRIGGERED
1788525019138,202,79,DB_FALLBACK,NOT_TRIGGERED
1788525019402,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525019671,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525019940,202,84,DB_FALLBACK,NOT_TRIGGERED
1788525020210,202,85,DB_FALLBACK,NOT_TRIGGERED
1788525020482,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525020749,202,84,DB_FALLBACK,NOT_TRIGGERED
1788525021015,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525021283,202,93,DB_FALLBACK,NOT_TRIGGERED
1788525021560,202,85,DB_FALLBACK,NOT_TRIGGERED
1788525021833,202,92,DB_FALLBACK,NOT_TRIGGERED
1788525022111,202,79,DB_FALLBACK,NOT_TRIGGERED
1788525022376,202,291,DB_FALLBACK,NOT_TRIGGERED
1788525022851,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525023120,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525023386,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525023651,202,106,DB_FALLBACK,NOT_TRIGGERED
1788525023944,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525024215,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525024482,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525024745,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525025010,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525025274,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525025538,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525025802,202,81,DB_FALLBACK,NOT_TRIGGERED
1788525026067,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525026339,202,82,DB_FALLBACK,NOT_TRIGGERED
1788525026608,202,79,DB_FALLBACK,NOT_TRIGGERED
1788525026874,202,83,DB_FALLBACK,NOT_TRIGGERED
1788525027143,202,86,DB_FALLBACK,NOT_TRIGGERED
1788525027416,202,80,DB_FALLBACK,NOT_TRIGGERED
1788525027681,202,86,REDIS,NOT_TRIGGERED
1788525027948,202,83,REDIS,NOT_TRIGGERED
1788525028214,202,86,REDIS,NOT_TRIGGERED
1788525028488,202,92,REDIS,NOT_TRIGGERED
1788525028789,202,101,REDIS,NOT_TRIGGERED
1788525029101,202,108,REDIS,NOT_TRIGGERED
1788525029411,202,98,REDIS,NOT_TRIGGERED
1788525029734,202,98,REDIS,NOT_TRIGGERED
1788525030022,202,94,REDIS,NOT_TRIGGERED
1788525030324,202,98,REDIS,NOT_TRIGGERED
1788525030635,202,116,REDIS,NOT_TRIGGERED
1788525030963,202,116,REDIS,NOT_TRIGGERED
1788525031297,202,104,REDIS,NOT_TRIGGERED
1788525031601,202,95,REDIS,NOT_TRIGGERED
1788525031901,202,84,REDIS,NOT_TRIGGERED
1788525032168,202,82,REDIS,NOT_TRIGGERED
1788525032476,202,91,REDIS,NOT_TRIGGERED
1788525032775,202,102,REDIS,NOT_TRIGGERED
1788525033091,202,112,REDIS,NOT_TRIGGERED
1788525033398,202,99,REDIS,NOT_TRIGGERED
1788525033702,202,86,REDIS,NOT_TRIGGERED
1788525033975,202,87,REDIS,NOT_TRIGGERED
1788525034282,202,109,REDIS,NOT_TRIGGERED
1788525034594,202,98,REDIS,NOT_TRIGGERED
1788525034913,202,95,REDIS,NOT_TRIGGERED
1788525035219,202,89,REDIS,NOT_TRIGGERED
1788525035545,202,117,REDIS,NOT_TRIGGERED
1788525035870,202,101,REDIS,NOT_TRIGGERED
1788525036179,202,107,REDIS,NOT_TRIGGERED
